id,occurred_at,location_text,dead_count,injured_count,vehicles,longitude,latitude
1554,2021-05-31 17:36:00+00,屏東縣內埔鄉老埤村科大北路附近 / 屏東縣內埔鄉老埤村學府路口,0,1,"[""普通重型機車""]",120.593156,22.64079
1555,2021-05-31 17:36:00+00,屏東縣內埔鄉老埤村科大北路附近 / 屏東縣內埔鄉老埤村學府路口,0,1,"[""普通重型機車""]",120.593156,22.64079
1556,2021-01-12 11:31:00+00,屏東縣內埔鄉南寧路北寧路,0,1,"[""自用小貨車(含客、貨兩用)"",""普通重型機車""]",120.565554,22.617501
1557,2021-02-04 07:45:00+00,屏東縣內埔鄉東寧村南寧路22號前0.0公尺,0,1,"[""普通重型機車"",""普通重型機車""]",120.565569,22.617497
1558,2021-02-18 20:12:00+00,屏東縣內埔鄉東寧村南寧路附近 / 屏東縣內埔鄉東寧村勝利路口,0,1,"[""自用小貨車(含客、貨兩用)"",""普通重型機車""]",120.559774,22.621176
1559,2021-02-18 20:12:00+00,屏東縣內埔鄉東寧村南寧路附近 / 屏東縣內埔鄉東寧村勝利路口,0,1,"[""自用小貨車(含客、貨兩用)"",""普通重型機車""]",120.559774,22.621176
1560,2021-04-10 15:39:00+00,屏東縣內埔鄉東寧村南寧路與民善路口,0,2,"[""普通重型機車"",""普通重型機車"",""自用小客車""]",120.558509,22.62199
1561,2021-04-27 17:38:00+00,屏東縣內埔鄉東寧村勝利路口 / 屏東縣內埔鄉東寧村南寧路口,0,1,"[""自用小客車"",""普通重型機車""]",120.559677,22.621222
1562,2021-04-27 17:38:00+00,屏東縣內埔鄉東寧村勝利路口 / 屏東縣內埔鄉東寧村南寧路口,0,1,"[""自用小客車"",""普通重型機車""]",120.559677,22.621222
1563,2021-05-03 10:43:00+00,屏東縣內埔鄉南寧路與利寧路口,0,1,"[""普通重型機車"",""普通重型機車""]",120.562722,22.619415
1564,2021-05-20 20:08:00+00,屏東縣內埔鄉南寧路勝利路,0,1,"[""自用小客車"",""普通重型機車""]",120.560232,22.620876
1565,2021-06-01 16:21:00+00,屏東縣內埔鄉南寧路廣濟路,0,2,"[""普通重型機車"",""普通重型機車""]",120.565554,22.617501
1566,2021-06-07 12:38:00+00,屏東縣內埔鄉南寧路422號中油加油站,0,1,"[""自用小客車"",""普通重型機車""]",120.557707,22.622714
1567,2021-06-18 20:00:00+00,屏東縣內埔鄉東寧村屏光路口 / 屏東縣內埔鄉東寧村南寧路附近,0,2,"[""普通重型機車"",""普通重型機車"",""普通重型機車"",""普通重型機車""]",120.556517,22.622819
1568,2021-06-18 20:00:00+00,屏東縣內埔鄉東寧村屏光路口 / 屏東縣內埔鄉東寧村南寧路附近,0,2,"[""普通重型機車"",""普通重型機車"",""普通重型機車"",""普通重型機車""]",120.556517,22.622819
1569,2021-06-24 07:33:00+00,屏東縣內埔鄉東寧村南寧路與民善路口,0,1,"[""普通重型機車"",""普通重型機車""]",120.558473,22.621989
1570,2021-06-25 17:08:00+00,屏東縣內埔鄉勝利路附近 / 屏東縣內埔鄉南寧路,0,1,"[""自用小貨車(含客、貨兩用)"",""普通重型機車""]",120.559705,22.621231
1571,2021-06-25 17:08:00+00,屏東縣內埔鄉勝利路附近 / 屏東縣內埔鄉南寧路,0,1,"[""自用小貨車(含客、貨兩用)"",""普通重型機車""]",120.559705,22.621231
1572,2021-02-01 14:15:00+00,屏東縣內埔鄉東寧村北寧路與平昌街口,0,1,"[""腳踏自行車慢車"",""普通重型機車""]",120.565746,22.618071
1573,2021-02-08 16:35:00+00,屏東縣內埔鄉北寧路平昌街,0,1,"[""自用小客車"",""普通重型機車""]",120.56572,22.618286
1574,2021-05-20 17:28:00+00,屏東縣內埔鄉東寧村北寧路口 / 屏東縣內埔鄉東寧村平昌街附近,0,1,"[""腳踏自行車慢車"",""自用小客車""]",120.565621,22.618043
1575,2021-05-20 17:28:00+00,屏東縣內埔鄉東寧村北寧路口 / 屏東縣內埔鄉東寧村平昌街附近,0,1,"[""腳踏自行車慢車"",""自用小客車""]",120.565621,22.618043
1576,2021-06-09 21:58:00+00,屏東縣內埔鄉東寧村北寧路與平昌街口,0,1,"[""自用小客車"",""大型重型2(250550C.C.)機車""]",120.565746,22.618071
1577,2021-01-04 08:26:00+00,屏東縣內埔鄉勝利路268號前,0,2,"[""普通重型機車"",""普通重型機車""]",120.565545,22.620133
1578,2021-01-14 17:03:00+00,屏東縣內埔鄉勝利路民善路,0,1,"[""普通重型機車"",""普通重型機車""]",120.560384,22.622164
1579,2021-02-20 12:51:00+00,屏東縣內埔鄉東寧村自強路口 / 屏東縣內埔鄉東寧村勝利路口,0,1,"[""普通重型機車"",""自用小客車""]",120.561204,22.61643
1580,2021-02-20 12:51:00+00,屏東縣內埔鄉東寧村自強路口 / 屏東縣內埔鄉東寧村勝利路口,0,1,"[""普通重型機車"",""自用小客車""]",120.561204,22.61643
1581,2021-03-04 12:25:00+00,屏東縣內埔鄉勝利路549號前0.0公尺,0,1,"[""自用小客車"",""普通重型機車""]",120.560412,22.619146
1582,2021-03-12 16:36:00+00,屏東縣內埔鄉東寧村德修路與勝利路口,0,1,"[""普通重型機車"",""自用小客車""]",120.561248,22.616402
1583,2021-03-18 07:18:00+00,屏東縣內埔鄉東寧村勝利路378號前,0,1,"[""自用小客車"",""普通重型機車""]",120.563559,22.620974
1584,2021-03-30 09:50:00+00,屏東縣內埔鄉勝利路7號前,0,1,"[""自用小貨車(含客、貨兩用)"",""行人人""]",120.56986,22.616212
1585,2021-03-31 18:00:00+00,屏東縣內埔鄉東寧村勝利路口 / 屏東縣內埔鄉東寧村北寧路口,0,2,"[""普通重型機車"",""腳踏自行車慢車""]",120.566621,22.61952
1586,2021-03-31 18:00:00+00,屏東縣內埔鄉東寧村勝利路口 / 屏東縣內埔鄉東寧村北寧路口,0,2,"[""普通重型機車"",""腳踏自行車慢車""]",120.566621,22.61952
1587,2021-04-08 07:41:00+00,屏東縣內埔鄉勝利路口 / 屏東縣內埔鄉東興路,0,2,"[""普通重型機車"",""普通重型機車""]",120.566766,22.619496
1588,2021-04-08 07:41:00+00,屏東縣內埔鄉勝利路口 / 屏東縣內埔鄉東興路,0,2,"[""普通重型機車"",""普通重型機車""]",120.566766,22.619496
1589,2021-06-23 14:34:00+00,屏東縣內埔鄉東寧村勝利路403號前0.0公尺附近,0,1,"[""普通重型機車"",""自用小客車"",""自用小客車""]",120.563078,22.621205
1590,2021-01-01 09:50:00+00,屏東縣內埔鄉學人路與海平路口,0,3,"[""自用小客車"",""自用小貨車(含客、貨兩用)"",""乘客人""]",120.556629,22.594345
1591,2021-01-03 11:41:00+00,屏東縣內埔鄉學人路684號,0,2,"[""普通重型機車"",""普通重型機車""]",120.563983,22.607108
1592,2021-01-14 22:48:00+00,屏東縣內埔鄉美和村學人路(台一線)僑智國小前往內埔方向,0,1,"[""普通重型機車""]",120.55561,22.592254
1593,2021-01-15 15:03:00+00,屏東縣內埔鄉學人路323號,0,1,"[""自用小客車"",""普通重型機車""]",120.560461,22.600989
1594,2021-01-29 08:52:00+00,屏東縣內埔鄉學人路501號前,0,1,"[""腳踏自行車慢車"",""自用小客車""]",120.562051,22.603991
1595,2021-02-01 18:06:00+00,屏東縣內埔鄉學人路336巷前0.0公尺附近,0,2,"[""自用小客車"",""普通重型機車"",""乘客人""]",120.561288,22.602211
1596,2021-02-21 18:28:00+00,屏東縣內埔鄉學人路246號前,0,1,"[""普通重型機車"",""行人人""]",120.560175,22.600227
1597,2021-02-21 19:27:00+00,屏東縣內埔鄉美和村學人路131號前,0,2,"[""普通重型機車"",""行人人""]",120.55826,22.596839
