id,occurred_at 11,occurred_time 11,location_text 11,weather 1,light_condition 1,accident_type 1,dead_count 11,injured_count 11,vehicle_1_type 1,vehicle_1_detail 1,vehicle_2_type 1,longitude11,latitude11
73,2022-05-05 00:00:00+00,13:05:00,屏東縣內埔鄉中勝路口 / 屏東縣內埔鄉原勝路附近,晴,日間自然光線,車與車,0,1,機車,普通重型,機車,120.600044,22.669326
74,2022-05-17 00:00:00+00,11:20:00,屏東縣內埔鄉中勝路附近 / 屏東縣內埔鄉原勝路,晴,日間自然光線,車與車,0,1,機車,普通重型,機車,120.60009,22.669333
75,2022-06-26 00:00:00+00,20:24:00,屏東縣內埔鄉原勝路19號前,晴,夜間(或隧道、地下道、涵洞)有照明,人與汽(機)車,0,2,人,行人,其他,120.59936,22.664611
76,2022-08-15 00:00:00+00,10:33:00,屏東縣內埔鄉原勝路與原勝路193巷口,晴,日間自然光線,車與車,0,2,機車,普通重型,機車,120.600051,22.668505
77,2022-10-08 00:00:00+00,11:05:00,屏東縣內埔鄉龍泉村原勝路171號前0.0公尺,晴,日間自然光線,車與車,0,1,機車,普通重型,機車,120.60003,22.668057
78,2022-10-17 00:00:00+00,18:03:36,屏東縣內埔鄉原勝路4巷19號前,晴,夜間(或隧道、地下道、涵洞)有照明,車與車,0,1,慢車,腳踏自行車,其他,120.604459,22.665635
79,2022-11-01 00:00:00+00,16:44:00,屏東縣內埔鄉龍泉村原勝路63號前0.0公尺,晴,日間自然光線,車與車,0,1,機車,普通重型,機車,120.599733,22.665698
80,2022-12-10 00:00:00+00,15:23:20,屏東縣內埔鄉原勝路與昭勝路口,晴,日間自然光線,車與車,0,2,機車,普通重型,機車,120.599914,22.666937
81,2022-12-26 00:00:00+00,12:44:00,屏東縣內埔鄉原勝路139號前,晴,日間自然光線,車與車,0,4,人,乘客,其他,120.599938,22.667284
82,2022-12-29 00:00:00+00,11:18:00,屏東縣內埔鄉原勝路30號,晴,日間自然光線,車與車,0,1,機車,普通重型,機車,120.600107,22.667949
83,2022-03-11 00:00:00+00,19:36:17,屏東縣內埔鄉中林路422巷15號,晴,夜間(或隧道、地下道、涵洞)有照明,汽(機)車本身,0,1,機車,普通重型,機車,120.599766,22.653164
