id,occurred_at 12,occurred_time 12,location_text 12,weather 3,light_condition 3,accident_type 3,dead_count 12,injured_count 12,vehicle_1_type 3,vehicle_2_type 3,vehicle_1_detail 3,longitude12,latitude12
76,2023-02-03,10:46:00,屏東縣內埔鄉原勝路口 / 屏東縣內埔鄉中林路口,晴,日間自然光線,車與車,0,1,小客車,汽車,自用,120.606324,22.665432
77,2023-03-02,12:19:36,屏東縣內埔鄉原勝路55號前,晴,日間自然光線,車與車,0,1,機車,,普通重型,120.599527,22.665277
78,2023-03-08,16:41:25,屏東縣內埔鄉原勝路87號前,晴,日間自然光線,車與車,0,3,人,,乘客,120.599719,22.666287
79,2023-03-16,16:30:00,屏東縣內埔鄉原勝路211號前0.0公尺,晴,日間自然光線,車與車,0,2,機車,,普通重型,120.600094,22.668974
80,2023-05-03,08:30:37,屏東縣內埔鄉原勝路76號前,晴,日間自然光線,車與車,0,1,小貨車(含客、貨兩用),,自用,120.6002,22.669037
81,2023-05-29,22:52:01,屏東縣內埔鄉龍泉村原勝路與通賢巷口,陰,夜間(或隧道、地下道、涵洞)有照明,車與車,0,1,小客車,,自用,120.600058,22.668532
82,2023-07-14,10:00:13,屏東縣內埔鄉原勝路125號,晴,有照明未開啟或故障,車與車,0,1,機車,,普通重型,120.599849,22.667089
83,2023-08-10,08:33:08,屏東縣內埔鄉原勝路111號前,雨,有照明未開啟或故障,車與車,0,1,機車,,普通重型,120.599744,22.666815
84,2023-08-14,17:17:24,屏東縣內埔鄉原勝路口 / 屏東縣內埔鄉大同路,晴,無照明,車與車,0,1,機車,機車與自行車,普通重型,120.599464,22.664355
85,2023-09-21,13:12:48,屏東縣內埔鄉原勝路143號前,晴,無照明,車與車,0,2,機車,,普通重型,120.599894,22.667427
86,2023-10-14,19:36:00,屏東縣內埔鄉原勝路口 / 屏東縣內埔鄉大同路附近,晴,有照明且開啟,車輛本身,0,2,人,,乘客,120.599431,22.66433
87,2023-11-07,22:04:42,屏東縣內埔鄉原勝路42號,晴,有照明且開啟,車與車,0,1,,,,120.600111,22.668121
88,2023-12-26,18:37:37,屏東縣內埔鄉原勝路137號,晴,有照明且開啟,車與車,0,2,人,,乘客,120.599872,22.667304
89,2023-01-14,10:30:41,屏東縣內埔鄉中林路422巷與中林路464巷口,晴,日間自然光線,車與車,0,2,人,,乘客,120.597591,22.649145
90,2023-04-16,18:43:00,屏東縣內埔鄉中林路422巷,晴,夜間(或隧道、地下道、涵洞)有照明,車與車,0,2,機車,,普通重型,120.603,22.659361
91,2023-01-18,09:27:00,屏東縣內埔鄉中林村聯通街口 / 屏東縣內埔鄉中林村聯通街附近,晴,日間自然光線,車與車,0,2,人,,乘客,120.603822,22.660825
92,2023-06-26,14:21:00,屏東縣內埔鄉聯通街口 / 屏東縣內埔鄉聯通街附近,雨,日間自然光線,車與車,0,1,機車,,普通重型,120.603786,22.660774
93,2023-09-17,08:09:00,屏東縣內埔鄉中林村聯通街口 / 屏東縣內埔鄉中林村聯通街附近,晴,有照明未開啟或故障,車與車,0,2,機車,,普通重型,120.603826,22.660821
