id,occurred_at1,location_text1,dead_count1,injured_count1,vehicles1,longitude1,latitude1
58,2021-12-03 18:36:00+00,屏東縣內埔鄉昌宏路與南華路186巷口,0,2,"[""普通重型機車"",""普通重型機車"",""普通重型機車""]",120.577152,22.616925
59,2021-12-06 15:59:00+00,屏東縣內埔鄉內埔村昌宏路口 / 屏東縣內埔鄉內埔村南華路附近,0,2,"[""普通重型機車"",""腳踏自行車慢車""]",120.577192,22.616913
60,2021-12-06 15:59:00+00,屏東縣內埔鄉內埔村昌宏路口 / 屏東縣內埔鄉內埔村南華路附近,0,2,"[""普通重型機車"",""腳踏自行車慢車""]",120.577192,22.616913
61,2021-01-03 12:28:00+00,屏東縣內埔鄉中正路與新東路口,0,2,"[""自用小客車"",""普通重型機車"",""普通重型機車"",""乘客人"",""乘客人"",""乘客人""]",120.544635,22.62995
62,2021-04-16 15:23:00+00,屏東縣內埔鄉新東路115號前,0,1,"[""普通重型機車"",""自用小貨車(含客、貨兩用)""]",120.54427,22.625844
63,2021-05-17 18:14:00+00,屏東縣內埔鄉振豐村新東路146號前,0,1,"[""自用小客車"",""普通重型機車""]",120.544359,22.624821
64,2021-07-17 10:34:00+00,屏東縣內埔鄉豐田村中正路口 / 屏東縣內埔鄉豐田村新東路附近,0,3,"[""普通重型機車"",""普通重型機車"",""乘客人""]",120.545166,22.630439
65,2021-07-26 07:35:00+00,屏東縣內埔鄉中正路新東路,0,1,"[""自用小客車"",""普通重型機車""]",120.545231,22.630536
66,2021-07-31 09:57:00+00,屏東縣內埔鄉中正路附近 / 屏東縣內埔鄉新東路,0,2,"[""普通重型機車"",""普通重型機車"",""自用小貨車(含客貨兩用)""]",120.545231,22.630536
67,2021-08-05 11:33:00+00,屏東縣內埔鄉新東路博愛巷,0,1,"[""自用小客車"",""普通重型機車"",""自用小貨車(含客貨兩用)""]",120.544385,22.625944
68,2021-08-30 15:40:00+00,屏東縣內埔鄉新東路253號前,0,1,"[""普通重型機車""]",120.544408,22.6283
69,2021-09-14 06:14:00+00,屏東縣內埔鄉新東路207號前,0,2,"[""腳踏自行車慢車"",""普通重型機車""]",120.544518,22.627537
70,2021-11-30 21:57:00+00,屏東縣內埔鄉振豐村中正路與新東路口,0,3,"[""普通重型機車"",""普通重型機車"",""乘客人""]",120.545157,22.630488
71,2021-07-13 07:34:00+00,屏東縣內埔鄉明東巷與瀧觀巷口,0,1,"[""普通重型機車"",""自用小客車""]",120.547782,22.623948
72,2021-01-07 08:02:00+00,屏東縣內埔鄉上樹村樹新路口 / 屏東縣內埔鄉上樹村樹新路附近,0,1,"[""自用小客車"",""普通重型機車""]",120.557598,22.632873
73,2021-01-07 08:02:00+00,屏東縣內埔鄉上樹村樹新路口 / 屏東縣內埔鄉上樹村樹新路附近,0,1,"[""自用小客車"",""普通重型機車""]",120.557598,22.632873
74,2021-04-13 15:27:00+00,屏東縣內埔鄉樹新路24號,0,2,"[""普通重型機車"",""普通重型機車""]",120.567944,22.634412
75,2021-05-10 12:18:00+00,屏東縣內埔鄉上樹村樹新路311巷與北寧路二段1巷口,0,1,"[""普通重型機車"",""自用小客車""]",120.557438,22.627541
76,2021-10-03 08:54:00+00,屏東縣內埔鄉樹新路口 / 屏東縣內埔鄉嘉應路,0,1,"[""普通輕型機車"",""自用小客車""]",120.568774,22.634291
77,2021-10-03 08:54:00+00,屏東縣內埔鄉樹新路口 / 屏東縣內埔鄉嘉應路,0,1,"[""普通輕型機車"",""自用小客車""]",120.568774,22.634291
78,2021-10-10 21:30:00+00,屏東縣內埔鄉樹新路201號,0,1,"[""普通重型機車""]",120.560428,22.633293
79,2021-12-28 20:30:00+00,屏東縣內埔鄉上樹村樹新路口 / 屏東縣內埔鄉上樹村竹東路口,0,1,"[""自用小客車"",""普通重型機車""]",120.568166,22.634303
80,2021-12-28 20:30:00+00,屏東縣內埔鄉上樹村樹新路口 / 屏東縣內埔鄉上樹村竹東路口,0,1,"[""自用小客車"",""普通重型機車""]",120.568166,22.634303
81,2021-02-05 08:35:00+00,屏東縣內埔鄉原勝路6號崇文國小,0,1,"[""普通重型機車"",""自用小客車""]",120.600145,22.666899
82,2021-02-17 17:57:00+00,屏東縣內埔鄉原勝路177巷口,0,1,"[""自用小客車"",""普通重型機車"",""普通重型機車"",""普通重型機車""]",120.600041,22.668178
83,2021-02-26 07:31:00+00,屏東縣內埔鄉原勝路33號前,0,1,"[""自用小客車"",""行人人""]",120.600102,22.667778
84,2021-04-06 14:00:00+00,屏東縣內埔鄉原勝路101號,0,1,,120.599878,22.666596
85,2021-04-13 19:04:00+00,屏東縣內埔鄉原勝路161號,0,1,"[""普通重型機車"",""普通重型機車"",""普通重型機車""]",120.599893,22.667893
86,2021-04-24 15:40:00+00,屏東縣內埔鄉龍泉村原勝路與原勝路177巷口,0,3,"[""普通重型機車"",""普通重型機車"",""普通重型機車"",""乘客人""]",120.599977,22.668161
87,2021-06-12 09:00:00+00,屏東縣內埔鄉龍泉村原勝路76號前,0,1,"[""普通重型機車"",""普通重型機車""]",120.600055,22.669176
88,2021-07-05 23:54:00+00,屏東縣內埔鄉中勝路與原勝路口,0,1,"[""普通重型機車""]",120.599852,22.669663
89,2021-07-27 07:40:00+00,屏東縣內埔鄉龍泉村原勝路40號前,0,1,"[""普通重型機車"",""自用小客車""]",120.600047,22.66807
90,2021-11-18 19:22:00+00,屏東縣內埔鄉龍泉村原勝路口 / 屏東縣內埔鄉龍泉村原勝路附近,0,1,"[""普通重型機車""]",120.600036,22.668584
91,2021-11-30 17:34:00+00,屏東縣內埔鄉龍泉村原勝路143號對面,0,1,"[""普通重型機車"",""行人人"",""自用小貨車(含客貨兩用)""]",120.6,22.667419
92,2021-12-13 16:44:00+00,屏東縣內埔鄉龍泉村原勝路口 / 屏東縣內埔鄉龍泉村大同路5段口,0,2,"[""普通重型機車"",""自用小客車"",""乘客人""]",120.599479,22.66436
93,2021-02-05 08:35:00+00,屏東縣內埔鄉原勝路6號崇文國小,0,1,"[""普通重型機車"",""自用小客車""]",120.600145,22.666899
94,2021-02-17 17:57:00+00,屏東縣內埔鄉原勝路177巷口,0,1,"[""自用小客車"",""普通重型機車"",""普通重型機車"",""普通重型機車""]",120.600041,22.668178
95,2021-02-26 07:31:00+00,屏東縣內埔鄉原勝路33號前,0,1,"[""自用小客車"",""行人人""]",120.600102,22.667778
96,2021-04-06 14:00:00+00,屏東縣內埔鄉原勝路101號,0,1,"[""自用小貨車(含客、貨兩用)"",""普通重型機車""]",120.599878,22.666596
97,2021-04-13 19:04:00+00,屏東縣內埔鄉原勝路161號,0,1,"[""普通重型機車"",""普通重型機車"",""普通重型機車""]",120.599893,22.667893
98,2021-04-24 15:40:00+00,屏東縣內埔鄉龍泉村原勝路與原勝路177巷口,0,3,"[""普通重型機車"",""普通重型機車"",""普通重型機車"",""乘客人""]",120.599977,22.668161
99,2021-06-12 09:00:00+00,屏東縣內埔鄉龍泉村原勝路76號前,0,1,"[""普通重型機車"",""普通重型機車""]",120.600055,22.669176
100,2021-07-05 23:54:00+00,屏東縣內埔鄉中勝路與原勝路口,0,1,"[""普通重型機車""]",120.599852,22.669663
101,2021-07-27 07:40:00+00,屏東縣內埔鄉龍泉村原勝路40號前,0,1,"[""普通重型機車自用小客車""]",120.600047,22.66807
102,2021-11-18 19:00:00+00,屏東縣內埔鄉龍泉村原勝路口 / 屏東縣內埔鄉龍泉村原勝路附近,0,1,"[""普通重型機車""]",120.600036,22.668584
103,2021-11-30 17:34:00+00,屏東縣內埔鄉龍泉村原勝路143號對面,0,1,"[""普通重型機車"",""行人人自用"",""小貨車(含客貨兩用)""]",120.6,22.667419
104,2021-12-13 16:44:00+00,屏東縣內埔鄉龍泉村原勝路口 / 屏東縣內埔鄉龍泉村大同路5段口,0,2,"[""普通重型機車"",""自用小客車"",""乘客人""]",120.599479,22.66436
105,2021-03-22 12:35:00+00,屏東縣內埔鄉中林路422巷19之1號前,0,2,"[""其他人人"",""普通重型機車"",""乘客人""]",120.596634,22.646921
106,2021-04-08 02:09:00+00,屏東縣內埔鄉中林村中林路422巷與中林路464巷口,0,1,"[""普通重型機車"",""自用小客車""]",120.597567,22.649094
107,2021-04-30 14:13:00+00,屏東縣內埔鄉中林路422巷與聯通街口,0,2,"[""普通重型機車"",""普通重型機車""]",120.603838,22.660816
108,2021-01-06 13:15:00+00,屏東縣內埔鄉中林村中林路附近 / 屏東縣內埔鄉中林村聯通街口,0,1,"[""普通重型機車"",""自用小客車""]",120.599052,22.661718
